index,elapsed_time,uv_temperature,material_used,linear_speed,zaxis_speed,perimeter,quality,timestamp,datetime
1,5005,101,1237448,300,10,976402,90,1600779498,2020-09-22 14:58:18
2,5972,95,1489512,300,13,1129162,100,1600789784,2020-09-22 17:49:44
3,6138,71,1135540,300,28,1138642,100,1600802270,2020-09-22 21:17:50
4,5995,114,951891,300,11,1155338,89,1600815292,2020-09-23 00:54:52
5,7476,116,2795070,300,19,1452808,88,1600828519,2020-09-23 04:35:19
6,9322,92,1788142,300,19,1800052,100,1600844735,2020-09-23 09:05:35
7,8294,130,2685850,300,23,1592362,87,1600856681,2020-09-23 12:24:41
8,6667,82,2514673,300,33,1281610,100,1600867618,2020-09-23 15:26:58
9,2897,120,704281,300,9,544098,88,1600876258,2020-09-23 17:50:58
10,9136,77,3241447,300,25,1732454,100,1600892271,2020-09-23 22:17:51
11,11647,83,3116612,300,20,2218112,100,1600908026,2020-09-24 02:40:26
12,6265,80,1261887,300,42,1213208,100,1600918806,2020-09-24 05:40:06
13,3085,90,1199919,300,10,605876,100,1600925632,2020-09-24 07:33:52
14,4502,104,1018447,300,12,858180,90,1600934964,2020-09-24 10:09:24
15,3690,98,647864,300,13,707386,100,1600944398,2020-09-24 12:46:38
16,6409,104,1761886,300,16,1226672,90,1600955647,2020-09-24 15:54:07
17,5861,76,1368191,300,15,1139996,100,1600966714,2020-09-24 18:58:34
18,8214,91,1582429,300,19,1605446,100,1600980512,2020-09-24 22:48:32
19,5460,70,2136137,300,19,1051718,100,1600991661,2020-09-25 01:54:21
20,3139,77,974519,300,16,614418,100,1601001397,2020-09-25 04:36:37
21,5220,99,1577162,300,19,1003428,90,1601012067,2020-09-25 07:34:27
22,9986,81,4089853,300,21,1895596,100,1601027254,2020-09-25 11:47:34
23,5237,86,1156019,300,43,1008034,100,1601036833,2020-09-25 14:27:13
24,4585,128,1346859,300,26,860014,87,1601045539,2020-09-25 16:52:19
25,3297,100,577616,300,11,634758,90,1601055178,2020-09-25 19:32:58
26,8286,78,2278683,300,31,1594764,100,1601067786,2020-09-25 23:03:06
27,3596,100,1447799,300,14,688730,90,1601077591,2020-09-26 01:46:31
28,9905,86,2030269,300,27,1920912,100,1601092854,2020-09-26 06:00:54
29,11166,125,2848259,300,22,2126066,88,1601107792,2020-09-26 10:09:52
30,9202,83,1616285,300,22,1732930,100,1601121419,2020-09-26 13:56:59
31,8608,106,3761494,300,16,1649434,89,1601135519,2020-09-26 17:51:59
32,4918,73,1577041,300,15,950500,100,1601146853,2020-09-26 21:00:53
33,8215,109,1290080,300,34,1576334,89,1601160975,2020-09-27 00:56:15
34,6347,123,1103001,300,12,1202356,88,1601173556,2020-09-27 04:25:56
35,5374,128,2007928,300,26,1020974,87,1601182961,2020-09-27 07:02:41
36,5080,118,888962,300,17,967510,88,1601193324,2020-09-27 09:55:24
37,6275,122,1917568,300,29,1204574,88,1601205163,2020-09-27 13:12:43
38,4155,129,1088182,300,13,793836,87,1601213384,2020-09-27 15:29:44
39,7009,121,2027040,300,13,1352080,88,1601224112,2020-09-27 18:28:32
40,3540,77,1472890,300,9,697126,100,1601233578,2020-09-27 21:06:18
41,3118,128,1117734,300,13,585954,87,1601243430,2020-09-27 23:50:30
42,7842,70,3194326,300,24,1473340,100,1601256641,2020-09-28 03:30:41
43,5646,104,2228400,300,11,1067164,90,1601269093,2020-09-28 06:58:13
44,3076,124,710197,300,8,596870,88,1601277568,2020-09-28 09:19:28
45,9173,113,2987140,300,17,1740240,89,1601293920,2020-09-28 13:52:00
46,7757,118,2622595,300,20,1493342,88,1601308603,2020-09-28 17:56:43
47,10660,117,1781194,300,25,2039820,88,1601326163,2020-09-28 22:49:23
48,3977,100,761844,300,10,777470,90,1601336700,2020-09-29 01:45:00
49,4715,102,2079779,300,29,908108,90,1601346552,2020-09-29 04:29:12
50,3384,84,1435349,300,14,663432,100,1601355293,2020-09-29 06:54:53
51,10466,97,2980007,300,27,1970092,100,1601370069,2020-09-29 11:01:09
52,6057,89,1405684,300,15,1183278,100,1601381330,2020-09-29 14:08:50
53,2901,90,762340,300,9,541032,100,1601388250,2020-09-29 16:04:10
54,10156,78,2229784,300,16,1952220,100,1601403318,2020-09-29 20:15:18
55,4826,119,1841112,300,9,895306,88,1601414509,2020-09-29 23:21:49
56,5608,94,2296048,300,25,1105282,100,1601426665,2020-09-30 02:44:25
57,5310,93,938260,300,20,1028530,100,1601436964,2020-09-30 05:36:04
58,7426,87,2731331,300,14,1407890,100,1601448964,2020-09-30 08:56:04
59,5782,93,1110499,300,18,1104884,100,1601461231,2020-09-30 12:20:31
60,7460,118,1259317,300,21,1384184,88,1601473687,2020-09-30 15:48:07
61,4205,95,1701591,300,9,792388,100,1601482729,2020-09-30 18:18:49
62,5061,70,2119469,300,9,964230,100,1601493902,2020-09-30 21:25:02
63,6680,118,2847645,300,18,1292946,88,1601505175,2020-10-01 00:32:55
64,3880,111,1000794,300,17,749200,89,1601514488,2020-10-01 03:08:08
65,3773,113,1397600,300,16,725398,89,1601525377,2020-10-01 06:09:37
66,6574,109,2043976,300,25,1264762,89,1601536087,2020-10-01 09:08:07
67,11115,83,4151303,300,20,2094786,100,1601552433,2020-10-01 13:40:33
68,7581,82,2753512,300,14,1462818,100,1601566154,2020-10-01 17:29:14
69,9898,126,3879346,300,27,1882638,87,1601583238,2020-10-01 22:13:58
70,9380,98,1708222,300,22,1816224,100,1601598133,2020-10-02 02:22:13
71,11494,114,3234910,300,18,2179678,89,1601614911,2020-10-02 07:01:51
72,7068,121,2107486,300,20,1377896,88,1601628384,2020-10-02 10:46:24
73,7928,89,3273450,300,23,1486590,100,1601640055,2020-10-02 14:00:55
74,2822,126,607988,300,9,543894,87,1601647791,2020-10-02 16:09:51
75,11934,113,2916656,300,22,2286920,87,1601665234,2020-10-02 21:00:34
76,7953,102,2202940,300,21,1533248,90,1601678752,2020-10-03 00:45:52
77,2703,83,920630,300,17,528894,100,1601685759,2020-10-03 02:42:39
78,8060,113,1606011,300,26,1572256,89,1601697987,2020-10-03 06:06:27
79,2918,94,593857,300,12,565240,100,1601706857,2020-10-03 08:34:17
80,6815,81,1566837,300,14,1306122,100,1601718228,2020-10-03 11:43:48
81,5728,99,2364564,300,33,1084502,90,1601731143,2020-10-03 15:19:03
82,5407,113,1745704,300,36,1032996,89,1601741829,2020-10-03 18:17:09
83,5050,102,1237533,300,16,974838,90,1601752972,2020-10-03 21:22:52
84,3341,123,926926,300,9,636730,88,1601763321,2020-10-04 00:15:21
85,6468,96,1711010,300,23,1254280,100,1601774524,2020-10-04 03:22:04
86,4180,121,1029224,300,12,811054,88,1601785689,2020-10-04 06:28:09
87,10919,92,4792359,300,22,2092510,93,1601802031,2020-10-04 11:00:31
88,5992,95,1389807,300,11,1169644,100,1601813809,2020-10-04 14:16:49
89,5245,95,2125272,300,42,1014744,100,1601826012,2020-10-04 17:40:12
90,7361,96,1362757,300,21,1398654,100,1601839228,2020-10-04 21:20:28
91,4240,127,1341672,300,12,818350,87,1601847823,2020-10-04 23:43:43
92,5774,76,1902718,300,15,1094076,100,1601858770,2020-10-05 02:46:10
93,3809,73,719139,300,7,717508,100,1601869219,2020-10-05 05:40:19
94,6783,126,2558041,300,25,1288728,87,1601881022,2020-10-05 08:57:02
95,6813,122,1604233,300,25,1328322,88,1601892813,2020-10-05 12:13:33
96,5653,130,1943572,300,10,1060982,87,1601905358,2020-10-05 15:42:38
97,5342,123,1868658,300,12,1050656,88,1601917371,2020-10-05 19:02:51
98,9244,126,1647354,300,29,1773654,87,1601931782,2020-10-05 23:03:02
99,4959,123,1061618,300,15,944394,88,1601940363,2020-10-06 01:26:03
100,6152,118,1064918,300,18,1187144,88,1601950693,2020-10-06 04:18:13
101,9698,83,3532903,300,26,1832122,100,1601965467,2020-10-06 08:24:27
102,4139,81,1419489,300,11,806068,100,1601973976,2020-10-06 10:46:16
103,5904,76,2122498,300,20,1143952,100,1601985944,2020-10-06 14:05:44
104,8127,105,3113566,300,34,1538906,90,1601999224,2020-10-06 17:47:04
105,6419,98,1789722,300,10,1209576,100,1602012277,2020-10-06 21:24:37
106,3942,94,1418195,300,7,757032,100,1602020029,2020-10-06 23:33:49
107,7238,118,1587971,300,39,1380162,88,1602031505,2020-10-07 02:45:05
108,9004,74,1771151,300,23,1753930,100,1602045113,2020-10-07 06:31:53
109,8076,107,3282054,300,34,1551160,89,1602057584,2020-10-07 09:59:44
110,3543,104,608877,300,13,678680,90,1602065686,2020-10-07 12:14:46
111,1923,96,800074,300,16,358986,100,1602074154,2020-10-07 14:35:54
112,6575,93,1084236,300,22,1257266,100,1602085832,2020-10-07 17:50:32
113,12556,95,5274874,300,21,2440432,77,1602105437,2020-10-07 23:17:17
114,5892,100,1097141,300,23,1109604,90,1602117267,2020-10-08 02:34:27
