index,elapsed_time,uv_temperature,material_used,linear_speed,zaxis_speed,perimeter,quality,timestamp,datetime
1,3695,79,1212,300,18,1106998,100,1600779498,2020-09-22 14:58:18
2,2801,97,472,300,14,838562,100,1600789088,2020-09-22 17:38:08
3,5513,108,872,300,25,1654422,100,1600800511,2020-09-22 20:48:31
4,1532,117,378,300,17,461734,100,1600808313,2020-09-22 22:58:33
5,1374,72,367,300,18,410364,100,1600816278,2020-09-23 01:11:18
6,6353,99,994,300,28,1902462,100,1600827236,2020-09-23 04:13:56
7,2984,114,1134,300,19,897262,100,1600835297,2020-09-23 06:28:17
8,3963,108,1456,300,24,1192708,100,1600843343,2020-09-23 08:42:23
9,3518,100,1612,300,33,1055984,100,1600851843,2020-09-23 11:04:03
10,3531,111,1278,300,21,1055418,100,1600858995,2020-09-23 13:03:15
11,1919,95,367,300,13,575222,100,1600866373,2020-09-23 15:06:13
12,5698,104,1966,300,31,1708286,100,1600877025,2020-09-23 18:03:45
13,5591,105,794,300,20,1682636,100,1600888094,2020-09-23 21:08:14
14,6312,78,939,300,25,1891742,100,1600901403,2020-09-24 00:50:03
15,3831,78,1122,300,15,1154140,100,1600912238,2020-09-24 03:50:38
16,2393,108,688,300,9,718378,100,1600919116,2020-09-24 05:45:16
17,2466,109,666,300,8,739272,100,1600925949,2020-09-24 07:39:09
18,6178,89,939,300,26,1856904,100,1600936164,2020-09-24 10:29:24
19,4161,113,1566,300,27,1249386,100,1600944546,2020-09-24 12:49:06
20,4591,90,600,300,14,1378548,100,1600955345,2020-09-24 15:49:05
21,5429,81,1734,300,25,1628748,100,1600965658,2020-09-24 18:40:58
22,5999,84,1956,300,29,1799834,100,1600975808,2020-09-24 21:30:08
23,5147,92,906,300,29,1542242,100,1600986533,2020-09-25 00:28:53
24,3473,104,833,300,36,1043608,100,1600994321,2020-09-25 02:38:41
25,4317,117,1534,300,25,1294000,100,1601002335,2020-09-25 04:52:15
26,4570,115,1834,300,33,1371020,100,1601013235,2020-09-25 07:53:55
27,2119,115,712,300,11,634722,100,1601020972,2020-09-25 10:02:52
28,2905,74,722,300,32,870978,100,1601030625,2020-09-25 12:43:45
29,5956,73,1812,300,25,1785256,100,1601042190,2020-09-25 15:56:30
30,6675,83,1678,300,19,2004440,100,1601054142,2020-09-25 19:15:42
31,6955,89,967,300,24,2089890,100,1601066326,2020-09-25 22:38:46
32,2111,100,289,300,7,633312,100,1601074406,2020-09-26 00:53:26
33,4586,115,1412,300,20,1370814,100,1601083803,2020-09-26 03:30:03
34,1963,112,433,300,17,588536,100,1601090469,2020-09-26 05:21:09
35,4038,83,733,300,24,1211486,100,1601101301,2020-09-26 08:21:41
36,5794,77,761,300,18,1742138,100,1601111839,2020-09-26 11:17:19
37,2749,101,734,300,9,826528,100,1601119621,2020-09-26 13:27:01
38,1823,101,666,300,11,546830,100,1601125410,2020-09-26 15:03:30
39,3868,117,678,300,21,1159360,100,1601133298,2020-09-26 17:14:58
40,3952,78,1366,300,21,1186998,100,1601141699,2020-09-26 19:34:59
41,4733,112,1512,300,22,1423084,100,1601152737,2020-09-26 22:38:57
42,2787,80,888,300,13,835412,100,1601161118,2020-09-27 00:58:38
43,7888,118,972,300,22,2364360,100,1601173530,2020-09-27 04:25:30
44,5510,92,944,300,29,1653164,100,1601183084,2020-09-27 07:04:44
45,1688,107,350,300,13,506504,100,1601191221,2020-09-27 09:20:21
46,4315,117,1300,300,18,1296854,100,1601200364,2020-09-27 11:52:44
47,6031,117,1734,300,22,1805892,100,1601210587,2020-09-27 14:43:07
48,5170,97,744,300,19,1550400,100,1601221196,2020-09-27 17:39:56
49,4450,100,978,300,39,1333726,100,1601232830,2020-09-27 20:53:50
50,4537,71,794,300,25,1361482,100,1601241198,2020-09-27 23:13:18
51,4853,103,1244,300,14,1455340,100,1601252091,2020-09-28 02:14:51
52,6545,70,1622,300,18,1964104,100,1601263515,2020-09-28 05:25:15
53,4219,106,728,300,23,1264506,100,1601274173,2020-09-28 08:22:53
54,2160,88,339,300,10,648672,100,1601282602,2020-09-28 10:43:22
55,4672,83,1434,300,20,1399894,100,1601293415,2020-09-28 13:43:35
56,2982,82,888,300,12,890734,100,1601303488,2020-09-28 16:31:28
57,2729,114,856,300,12,821740,100,1601313373,2020-09-28 19:16:13
58,2840,93,800,300,10,853162,100,1601321426,2020-09-28 21:30:26
59,4989,106,894,300,29,1492888,100,1601330343,2020-09-28 23:59:03
60,6307,77,1612,300,19,1890044,100,1601342540,2020-09-29 03:22:20
61,7682,117,933,300,20,2306124,100,1601355670,2020-09-29 07:01:10
62,2914,103,866,300,12,871140,100,1601362246,2020-09-29 08:50:46
63,2899,93,544,300,18,874008,100,1601369644,2020-09-29 10:54:04
64,6375,103,1800,300,23,1910324,100,1601382017,2020-09-29 14:20:17
