index,elapsed_time,uv_temperature,material_used,linear_speed,zaxis_speed,perimeter,quality,timestamp,datetime
1,2776,111,606,300,24,832802,100,1600779498,2020-09-22 14:58:18
2,4043,72,1256,300,18,1211416,100,1600789736,2020-09-22 17:48:56
3,6854,85,1788,300,21,2056340,100,1600803431,2020-09-22 21:37:11
4,1838,86,300,300,9,551270,100,1600810482,2020-09-22 23:34:42
5,1819,72,712,300,13,547550,100,1600819416,2020-09-23 02:03:36
6,1881,90,361,300,12,564456,100,1600826964,2020-09-23 04:09:24
7,6121,112,989,300,29,1836918,100,1600836991,2020-09-23 06:56:31
8,5573,73,728,300,17,1667392,100,1600847985,2020-09-23 09:59:45
9,4524,82,600,300,14,1356920,100,1600858026,2020-09-23 12:47:06
10,7728,73,1978,300,23,2319870,100,1600871924,2020-09-23 16:38:44
11,4605,108,1722,300,29,1382072,100,1600881206,2020-09-23 19:13:26
12,3506,107,794,300,32,1048168,100,1600890790,2020-09-23 21:53:10
13,4681,98,1422,300,19,1404972,100,1600902581,2020-09-24 01:09:41
14,3831,116,1056,300,13,1151364,100,1600911227,2020-09-24 03:33:47
15,2754,113,856,300,12,826848,100,1600918814,2020-09-24 05:40:14
16,3815,93,778,300,29,1135374,100,1600929192,2020-09-24 08:33:12
17,4630,78,656,300,17,1387596,100,1600938004,2020-09-24 11:00:04
18,2943,107,1022,300,16,880246,100,1600946562,2020-09-24 13:22:42
19,2118,95,344,300,10,632476,100,1600954795,2020-09-24 15:39:55
20,3478,77,1500,300,29,1049046,100,1600964079,2020-09-24 18:14:39
21,3783,90,628,300,19,1135626,100,1600973187,2020-09-24 20:46:27
22,4503,86,717,300,21,1348854,100,1600983108,2020-09-24 23:31:48
23,2512,103,912,300,15,754930,100,1600990367,2020-09-25 01:32:47
24,1535,95,578,300,10,459704,100,1600999030,2020-09-25 03:57:10
25,3414,104,1322,300,23,1026576,100,1601007080,2020-09-25 06:11:20
26,1449,99,356,300,16,433474,100,1601012976,2020-09-25 07:49:36
27,3845,106,511,300,12,1155030,100,1601022061,2020-09-25 10:21:01
28,5845,114,1522,300,18,1754336,100,1601032928,2020-09-25 13:22:08
29,6279,91,756,300,16,1884888,100,1601045104,2020-09-25 16:45:04
30,6707,72,1900,300,24,2011356,100,1601057180,2020-09-25 20:06:20
